Direction,Price_Change_Category,PercentageChange_Category,Volume_Category
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Significant Gain,Very High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Significant Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Significant Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Significant Loss,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Significant Gain,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Significant Loss,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Significant Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Big Drop,Significant Loss,Very High
Down,Big Drop,Significant Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Moderate Loss,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Moderate Loss,Medium
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Medium
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Medium
Down,Small Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,High
